Runyoro,English
Okusendwa kw'itaka kuleteriize abalimi kuleka itaka lyaabo bakagenda mu bibuga.,The soil erosion has been forcing forcing farers to abandon their land and move to cities.
"Kakuba ntaratungire obumanzi bw'okubaza nawe eki, twakuferirwe buno obunywani.","If l hadn't mustered the courage to talk to her that day , we would have missed out on this friendship."
"omuntu weena owotaganana tangana anyina ekyamanyire iwe ekyotamanyire , kandi kinu nikisemera kukuha omugisa okwega",Every person you meet knows something you don't—that's a chance to learn.
Nuwe yangambiire ngu kirungi kusaba obuyambi.,He's the one who taught me that it's okay to ask for help.
"Nkaba ntamanyire ndisobora kurabamu ogu omwaka, baitu dora kandi hanu.","I didn't think I'd make it through that year, but here I am."
Abaana baitu benda kuhurra oruganikyo nkoku twatangatangaine.,Our children love hearing the story oh how we met -they make us tell it every anniversary.
UPDF eketaba omubitebe kalinda businge.,UPDF has participated in peace keeping missions.
"Orufu rwalsenkuru nyowe rukuba rwokujaguza obuwomezibwe -nobukiraba tukaba tuli omumazisa, tukamubazaaho ,nokuseka twaseka.",My grandfather's funeral was a celebration of his life - e told stories and laughed through our tears.
"Kakuba nakukozire ekintu ntaine butiine butiini bwokugwa, nakutandikireho entaahya yange.","If l could do anything without fear of failure , l'd start my own business."
Obubavumbuire ebibakaba batarukuruhira.,When they made unexpected discoveries.
Noyetaagwa kwikaza okuguru kuhanikirwe kukehya okuzimba.,You'll need to keep your leg elevated to reduce swelling.
hobworambagambaki tinsobora kuhingisa ebitekerezo,"No matter what you say, I won't change my mind."
Abalimi bakozesa ebijunzire kwongera oburungi omu itaka.,Farmers use compost to improve soil structure.
Kugarraho buhyaka ebyasisikaire nukugenda omumaiso omubikaro ebyasisikaire.,Reconstruction efforts continue in affected areas.
Omusaija asaswire amabanjage goona,He has paid off all his debts.
Omusiri gw'ebicooli gulirwe kandi gwasiswa ihe ly'empuhira.,The maize crop has been damaged by fall armyworm.
"Abarukuseruliriza bakaba nibecumuliriza habirukubaho habwempinda hinduka y'obwire haby'okulunda ebyokulya ,obubatandukire emihanda y'okulinda empyaaka.",The researchers were studying the impact of climate change on food security when they developed new adaptation strategies.
Omumirimo eyengaro ahakaba harumu n'okuteera embugo.,Traditional crafts included barkcloth making.
omusaija abyaire omu mutemwa kahagura,He has invested in a hedge fund.
ayehaisa we wenka habwencumbaye,She prides herself on her cooking.
ekiikaro kyokukoorramu emizaano nikiiji kwanguhira naabalema kukutahamu,The new theater will be accessible to people with disabilities.
"Tubanza okuha abakuru abaira , amata agatubanza okukama omunte.",We give the first milk from the cow to the ancestors.
Omubazi nigusobara kusasa baitu nigukora.,The treatment can be painful but is usually effective.
kaliitango y'okwegesa habyobuhangwo ehikireho abantu abarukuhingura mukyaaro,The environmental awareness campaign has reached over one million people.
Hampero ey'ebiro eby'okugesa nitwija kukora obugenyi.,We will celebrate the harvest festival at the end of the season.
Ndora muno Ruhanga omubimera kukira onubyombeko.,I find God more easily in nature than in any building .
embibo enu emyaka nija ruba nungi ha bwebicweeka ebyensozi,The new variety will be suitable for higher altitudes.
kampuni eriyo netaaha omubutale obuhyaka.,The company is entering new markets.
Ekaali kya Tooro omu Fort Portal kisikiriza abagenyi baingi.,The Tooro palace in Fort Portal attracts many visitors.
Ekiro ekyaijo nsaswirege ensuwarensi eya matungo gange,I paid my property insurance yesterday.
Buli murwa guba namakuru noobu kiraaba tutugetegereza.,"Every ritual has a meaning, even if we don't always understand it."
Nyina esaara eyinsaba obunkwatwa otuuro-nikyo kintu kyokumalirra ha bwongo bwange.,I have a prayer I say when I'm falling asleep-it's the last thing on my mind.
itwe tuha endagaano eraihireho eyokulinda ebyamasanyarazi ebiguzirwe.,We offer extended warranties on electronics.
"Kakuba abasi bensi batungire itaka likooto eryokulisizamu, itaka lyakubaire likyarumu ekiriisa.","If the community had not overgrazed the land, the soil would still be fertile."
banka enkuru niija kukekya amagoba,The central bank will lower interest rates.
Omurwaire nayoleka oburorwaho bwokuba kubi.,The patient is showing signs of sepsis.
nyowe nkozesa kaada -nsimbi habwobusiimo.,I use a credit card for the rewards points.
"Ab'ekitongole kyebitwehinguliriize eky'ebyeruyegesa batairemu omuhumbo ab'emyaaka erw kuuba bebembezi,bebitwehinguliriize.",The environmental education center has inspired a new generation of environmental leaders.
"Omuzaano ogworutimbi ourukusekesa buli omu, nagubazaaho.",The new comedy series on television has everyone talking.
Haibandiro nuho turukwiija kujaguliza ebijuma ebyokubanza.,We will celebrate the first fruits with a ceremony at the shrine.
"Ekiro ekyaijo omurwa gw'okulinda ebirimwa, omwigi wenjura agukozirege.",The rainmaker performed the ritual to protect the crops yesterday.
Aine omulingo ogwandoramu ogunde tera kwehurra nk'omuntu wenka omunsi yoona.,She has this way of looking at me that makes me feel like the only person in the world
obusiri bwensigo zokubyara busemeza omulingo gwiltaka,Permanent beds improve soil structure.
Kukuba oburorwaho bugumizamu hikirra abafumu ahonaho.,"If the symptoms worsen, seek medical attention immediately."
Nitwija kujaguza empero y'ekyanda nomukoro gw'okusiima.,We will celebrate the end of the dry season with a ceremony of thanks.
Akatebe akobutale nikalengesaho emikura kamanyisa amakuru,The marketing team is testing new advertising channels.
Abafumu abenzaarwa bakozesaaga ebisaka n'emyoyo emibi.,Traditional healers used herbs and spiritual practices.
engabi katanga ekairuka ekirurru neliina hurutu kukurwaata,The gazelle ran so fast that the cheetah could not catch it.
Kampuni eri mukusindikwa abemigabo,The company is facing shareholder activism.
Kulima kwemikiiko hansozi kuhondera emera yensi eyobuhangwa.,Contour plowing follows the land's natural contours.
Omunyikiriza eyenzaarwa harumu okumanya omuhangi.,Traditional religion included belief in a supreme creator.
"Kakuba nali ntatiire hansi y'ibaale , tinakwongiire kwombeka obw'omeezi bwange nkooku bugondeze.","If l had'nt hit rock bottom , l never would have rebuilt my life the way l wanted it."
Amaarwa ago'kubanza kuruga omu maarwa agalisiibwe buhyaka tugahongera baisenkuru itwe abaira.,We offer the first beer from the new brew to the ancestors.
Enyikiriza enzaarwa ekaba erumu emirwa y'okwisa enjura n'okugesa.,Traditional religion included rituals for rain and harvest.
obuguuda bwihanfa nubuleberizibwe okukurra ha ndubata ingaine -ingaine,The economy is projected to grow at a moderate pace.
"Omutekanisa webisisani by'oeutmbi ayecencwiire omuzaana gw'ebisisani ebiruugenda , n'amaraka gaakyo kandi ayeteekaiize kugwoleka omunsi yoona.",The filmmaker has edited her movie and is ready to show it to the world.
"Buli mwaka,nyetegerezaho muno kyonka nyetwarra bike.","Every year, I understand a little more and claim a little less."
Ekiro ekyaijo nkasasura ibanja lyamaizi.,I paid my water bill yesterday.
"Hakubatizibwa kwamunywani wange, nkabaho nobundaba ntali mukristo baitu gwali mugisa kubaho.",I attended a friend's baptism even though I'm not christian-it was an honor to witness.
Eka eyeri haihi naitwe ekakuletera ebyokulya habwomwezi gwona nyuma yange yokusemezibwa.,The family next door brought us meals for a whole month after my surgery.
"Omwaka tutarasoboire ebisembo , tukahandikira ngana ebbaruha omukikaro -eyange nkyagiine.","The year we couldn't afford gifts , we wrote each other letters instead - l still have mine."
Kulisiza ebisolo biingi hataito kikeheze kugarurwa buhyaka oku'itaka enjura obwerukuba eqwiire.,The overgrazing has been reducing the lands ability to recover after rain.
Noija kwetaagisa kupima obulemeezi bw'amagufa gaawe.,You'll need to have your bone density tested.
ehudu ekakwaata encu eyebiriisa bingi omukisaaru nekiganja kyaayo ekikooto,The bear caught salmon in the river with its huge paws.
Nkaba ntakasiimaga encumba ya nyina nyowe kuhikya obu naganzire aheeru Kandi niyeriisa.,"I never appreciated my mother,s cooking until l moved out and had to feed myself."
Aliyo nayetekanizira ebigezo.,She's busy preparing for her exams.
Ninferwa omulingo amaka agatwetoraire nkoku bategekaga ebiro bikukuru nkyali mwana.,I miss the way the whole neighborhood would decorate for festivals when l was a kid.
Yusuf Lule akebembera ihanga habwakasumi kake.,Yusuf Lule served as president briefly.
Obworaba notalubana omubwomeezi ekitabu kya yobu nikisobora kukukanyere kuzazaaho okwikirza nokubonabona.,"If you're struggling , the book of job might speak -its about suffering and faith."
omukazi abaire nakora nka mukuru webyensimbi atakakozire ekitebe ekisubuzi ekye,She had been working as an accountant for years before she started her own firm.
ekyenyanja rulindwa ngamba kikezimbiiko mumusenyi obwe bigonzi byaculiire,The clam burrowed into the sand when the tide went out.
Twetoroora Kaaba emirundi musanju omukasumi ka Hajji-kitumanyisa obumu bwabaikiriza.,We circle the kaaba seven times during Hajj-it reminds us of the unity of believers.
Ekihoya kikatahwamu obuhuka noobu kikarolererwa nkooku kisemerire.,The wound became infected despite proper care.
"Obunahimbire omwana waitu,nketegereza okugonza kwa Ruhanga halitwe buhyaka.","When I held my newborn baby, I understood God's love for us in a new way."
Emihanda eyobusubuzi yateranizaaga ensi eza hagati kuhika hamwaro omukooto.,Pre-colonial trade routes connected the interior to the coast.
Yoweri Museveni akataho Amahe agaboona Rwangirra.,Yoweri Museveni formed the popular Resistance Army.
Abalemi aba matwale bakahandika engeso zobusi bwensi hamu n'ediini.,Colonial officials recorded local customs and languages.
Ebisasaizi byawe obikora ota kandi bwireki?,What is your exercise routine like?
nakwikaireho akasumi karaihireho kukira akankaba ntegekere,I wound up staying longer than planned.
Oburwaire obukuleetwa obuhuka nibujanjarra bwangu omu muyaga.,The virus is airborne and spreads easily.
"Abazini bamazina bataaha niarabamu amazina kokugesa , kumara ameezi omwoleko gutakahikire.",The dancers had been rehearsing the harvest dance for months before the festival.
Obujanjabi nibwetaagisa kukebera esagama yawe kukeberwa buli kaire okwecencura enkora y'obune.,The treament requires regular blood tests to monitor liver function.
Ebigambo ebyobusinje kuruga hali abakuru birinzire obusinge omubantu baitu.,Our community has kept the peace through the words of the elders.
Abaana nibeega emuzaano eyokubegesa okugumisiriza.,The children are learning the games that teach them to be patient.
Obusonsogoro bwobutindinda bwakozesibwaga nka sente omubusinge obwobulemi obwamatwale butakabaireho.,Cowrie shells were used currency in pre-colonial times.
omwehangahangi webisaru nyaisatu akozire ekisisaru kyemanzi rurangaaanwa mukyaaro,The sculptor has carved a statue of the village hero.
Oratungireho obulemezi kuruga hamubazi gw'okukabisa batakakusemize?,Have you ever had a reaction to anesthesia?
ekisoro rwakisahu kikwuka kyagenda kuli nomwaana wakyo mukisahu,The kangaroo hopped away with its baby in its pouch.
"Nkakaguza nyinenkuru nyowe obwakaba omumpiko zokufa nti,nororaki-akamwegerra yagamba ati ""Eyererezi"".","I asked my grandma what she saw- she smiled and said, ""Light""."
ninyijuba kurungi omurundi gwange ogwokuba kumuga ekikaasa kyokwetiirizaho ebitabu omulyahurro lyebitabu nkamanyira kimu nti hati emihanda yange nyingi,l remember the day l got my library card so many posibilities
bakabanza kutangatarra parisi,It was in Paris that they first
Omurundi ogwokubanza ogunaroleezeeho enaz kikamatiza ngu majiki.,"The first time I tasted fresh coconut, lt was magic."
Byokulyaki ebi otasemeriire kutalya.,What are your dietary restrictions?
obusoro rwomunyanja rusengiija burasengiija amaizi kuraba mubuhuru bwabwo kutunga ekyokulya,The sponge filtered water through its pores to get food.
Nyina koran yaisenkuru nyowe omukuru egikintu kyangekyomuhendo.,I have a Quran that belonged to my great-grandfather -it's one of my most precious possessions.
Yakugondeze oije ha bugenyibwe.,She'd like you to come to her party.
Ai Ruhanga nolema ekayange kandi obalinde.,"Dear God ,please watch over my family and keep then safe."
Obwokurorra haihi buli malirra ehimba embibo y'entandikwa ehyaka.,"If you look closely, you'll see that every ending carries the seed of a new beginning."
orulengo rwemihendo nurwija kutekaana omubwanfu,The inflation rate will stabilize soon.
Ekka yaitu etangirra entambaruki omuka yaitu.,Our family has always welcomed strangers into our home.
Nyinento nyowe agamba nkooku yatangatangaine musaija we mukatale.,"My aunt tells the story of how she met her husband at a market so vividly, l feel like i was there."
"Kakuba twogiisa amaizi garukufuka, ntuuba ntukeehyaabo kutuumuka kw'orwooya orurukugenda mumwanya.","If we use cold water for laundry, we can save energy and reduce emissions."
Nyina guruupa yabeegi twasomere nabo omu isomero eyitubalizaaho hati twakagimaraho emyaka ikumi-duu,I have a group chat with my school friends that's been active for ten years.
Tinsobora kutera akasisani kwikara tutaine amasanyarazi.,I can't imagine living without electricity.
Abantu abalembwire ensi enu bakafuka-furukaga bahiigaga kandi basorooza ebyokulya.,The earliest inhabitants were nomadic hunter-gatherers.
Obwakaba nakyahika ati nokugenderaho.,No sooner had she arrived than she had to leave.
"Akasumi ak'omweegi akagilizaamu EKIKAGUZO ekyobaire otarukhra, ako nuuko akasumi KONYINI akokwegesezaamu.",The moment a student asks a question you've never considered is the best part of teaching.
Ekiro ekyaijo omuzini azinirege nkonku ekyaro kyaitu kyatandikire.,The praise singer told the story of the founding of our village yesterday.
Nkatunda emigabo nukwo nyunge ezaburoho.,I sold some shares to raise cash last week.
Noonywa amaarwa agarukwinganaha buli sabbiti?,How much alcohol do you drink per week?
Ebinyonyi bifuruka nibigenda habulyo mubwiire bw'omusana.,The birds migrate south every year to escape the cold winter.
Omuyaga ogwamaani gukasiisa isomero kyonka enkyomugisa abaana bwirobu bakaba batarumu.,"The tornado destroyed the school, but fortunately no children were there at the time."
Okuswerrana kulesireho okuterana okwamahanga,Intermarriage has created cultural exchange.
Abalinzi bebitwehinguliriize babaire nibekebiija engeso yebikuya byahansozi obubarozire ebintu ebikozesiibwe.,The conservationist were studying the behavior of mountain gorillas when they observed tool use.
ekinyonyi rururbatatoro kirekuurra handa kyacwanganiza ebiruka nukwo kihikeho amaizi,The penguin slid on its belly across the ice to reach the water.
Ntaaha nyine obulemeezi kutekaho omutima habintu nkukora.,I've been having trouble focusing at work.
nagonzaga obwomumwegesa rundi omusomesa yasomaga bbwa nayatura ebigambo hali itwe nobundaaba nkaaba omu kilassa za haigure omu lsomero,I loved when the teacher would read aloud to us—even in high school.
Irwarro line ekisiika ky'abakazi benda nabaruku zaara hamu n'ebisika nambere omurwaire akusasurra obujanjabi.,The hospital has a maternity ward with private rooms.
Abago babaga bekitinisa omubukama.,Royal wives held significant status in the kingdom.
Milton Obote akebembera Uganda okuhika ha kwereme.,Milton Obote led Uganda to independence in 1962.
Omurwaire atungire esagama erukwingana nkaha?,How many units of blood did the patient receive?
Benedicto Kiwanuka nuwe yabandize okuba mukuru wa baminista.,Benedicto Kiwanuka became Uganda's first chief minister.
Akateekwa ha mubazi ogurukuleeta oruzaaro kumarra emyaka ebiri.,She underwent fertility treatment for two years.
Ebyokulya by'omu katale bikaba birungi muno kandi nkagyayo kugora emirundiena omubiro bibiri.,"The food in that market was so good ,l went back four times in two days"
Kuruga ira na ira oruganda rwaitu rukamanya ekisoro eky'omuziro gwabu.,Our clan has known its totem animal since ancient times.
Obworaba noyeuliza muno KWEEGA gambiraho OGU ayakisobozeseze kubaho.,"If you're grateful for your education, tell someone who made it possible."
Omulingo omuhyaka ogwekirimwa nigwija kugumira oburwaire.,The new crop variety will be resistant to disease.
Tingaba nukwo bandole baitu habwokuba nyowe nkaheebwa bingi.,I don't give to be seen-I give because I've been given so much.
obwire obwa hagati yamaso obu twamaraga nturubata rubata omu kikuubo ma banywani bwa sisanaga na amasomo gonyini omu bukuru bwago,The moments between classes walking through hailways catching up with friends were just as important as the lessons
Omurundi gwokubanza nkatekaniriza abazaire bange ekihuro nkaba ntiinire muno habwabge ekihuro nkaba ntiinire muno kuntunira kuchumba.,"The first time l made a meal for my parents, l was so nervous l could barely cook."
Itwe abagenyi omuka yaitu tubatangirra n'ekizina.,We greet visitors with a song when they come to our home.
Ebikwato by'Obukama bikozisibwa hamikono ey'empango.,Royal regalia is used in coronation ceremonies.
"Hakabaho ebintu onmubwomeezi, ebyandeteriize kuhyemera byona ebinaikirizaaga.",There are things that happened in my life that made me question everything i believed.
Okuseruliza okwebyafaayo nukukyagenda omumaiso omukitongole ekyengenzo ez'abantu ekya Makerere.,Historical research continues at Makerere Institute of Social Research.
abakozi nibata cai enyakujojire ha mikubi erukuiragura,The workers are applying compost tea to the vegetables.
Omurundi gwokubanza obunayetabire omumurwa gwekamuura nyeziibwe nkoku ntarukusobora kusoborra.,"The first time I participated in a sweat lodge, I felt purified in a way I can't explain."
Ekiro ekyaija omufumu akakozesa amaani agabaisenkuru itwe okukiza omurwaire.,The healer used the power of the ancestors to cure the sick man yesterday.
abaire nayekozusa atakahungire omulimo gwobutoose,She had been working as a freelance consultant for years before she joined the firm.
