muhogo	Cassava
obutiiko	Newly found excitements
akatimba	Net, wire mesh
obutimba	Net, wire meshes
akatongo	A thicket, small forest
obutongo	Thicket, small forests
akatoonyezi	A dot, full stop
obutoonyezi	Dot, full stops
akatunda	Small passion fruit
obutunda	Small passion fruits
akatunguru	An onion
obutunguru	Onions
akatuzi	Small mushroom
obutuzi byo'bwera	Small mushrooms
akawamuje	Squirrel
obuwamuje	Squirrels
akazingo	Chronic
obuzingo	Chronics
akamayiro	Uncalled for familiarity
obumanyiro	Something for emergency
alifabeti	Alphabet
alipoota	Report
amaani	Strength,authority, violence, force
amabaale	Stones
amabega	Shoulders
amabeho	Fresh air
amabingo	Reeds, elephant grass
nyamunura	Savouries, delicacies
amacande	Sesame
entungo	Sesame
amacu	Asthma, bronchitis
amacumu	Spears
amacunda	Churned milk
amacwacwa	Cunning, craft, wisdom
amacwanta	Saliva, spittle
amadaara/amatembero	Ladders, steps
amadinda	Pleats
amaiso	Eyes
amaduli	Hemp seed
amaazi	Faeces, excrement
obugumangaine	Difficulty
amagana	Hundred(100), wealth
amaganga/enkali ye'nte	Urine of cattle
amaganya	Grief
obwomezi	Health, strength, life
ensigo ezakya muno	Overflowing grains
amagaruka	Return journey
amagenda	Going, an outward journey
amagesa	Reaping
amagezi	Wisdom
amagoba	Profits
amagosi	Testicles
amaguli	Large granaries
amahanga	Nations
amahano	Wonders
amahembe	Horns
amahuli	Eggs
amahunge	Northwest wind
amakuru	News
amahurru	Small royal drums
amairu	Intense desire
amaiso	Eyes, face
amajabali	Frayed, jagged edges
isoke/ ekyoya	Hair
ahya	To drive from lair
kutimba	Decoration, adornment, exaggerations
amajenjeka	To tie loosely
amajooba	Red stitching, embroidery
amaka	Homes, homestead
amakamo	Curdled milk, junket
amakara	Charcoal
akigarukwamu	To answer, reply
amakebe	Fat cheeks
amakendu	Waist
amakerre	Wild strawbberries
amakooti	Round shoulders
amakune	Hospitality
amakuura	In footmall
amakuru	News, meaning, sense, interpretation
amakutu	Short cut
amakuuma	Round shoulders
amakuumuule	Rudeness
amalebe	Water lilies
amalere	Fern
amaligisa	Over doing, exaggeration
amaryo	Cunning, craft
amambukiro	Ford, landing site
kujwaha	To be exhausted
kuraranja	To scatter, exhaust
amanambo	Old mines
amananu/amazima	Truth
amanda	Hot charcoal, coals, charcoal
amanduguya	Mumps
amankwaha	Armpits
amanogo	Tunnels made by termites
amanono	Claws of an animal
amanyaali	Semen
obufuki	Damp, cold
amanzamba	Cartridge bolt
ebyenda	Bowels, small intenstines
amaraka	Voices, throat, larynx
amarali	Squint, cross-eyes
angaarra	To be left friendless
kwangana	Divorce
kuterangana	To bate each other
kwangasana	To shine
kwanguha	To be quick
kwanguhya	To hasten, accelerate
kwomesereza	To dry slowly
kwana	To make, to bear(fruit)
kujara	To spread out
anjuka	To be lascivious, licentious
anjura	To make lascivious, licentious
kujingajinga	Forge
kusukura	To open (book)
kujokoza	To question deceitifully, provoke
kwinganiza	To be level
kujanjaza	To be spread, furnished
kwasama	To open (of mouth)
kuhonda	To crush, pound
kwatura	To hatch out
amaranga	Type of lilies
emyempanko	Pride
amarunga	Scarlet seeds
amasamba	Estates, plantations
amakamba	Latex of rubber tree
amasanga	Ivory, tusks
amasanyu	Leafy twigs, foliage
amasasaazi	Sparks
amasasi	Bullets
amasirimuko	Descent, slope,south
amasonsolya	Top of a tree
amasu	Loneliness, solitude
amasumi	Fresh milk
amasurubbu	Whiskers
amaswale	Raffia
amata	Milk
amatandiiko	Harness, saddle
amatanga/ebiraka	Patches
amatangatangano	Cross-roads, junction
amatembero	Ladders
amatu	Ears
amatu g'abakaikuru	Fungus found on trees
amazaarwa	Birthday
amazi	Dung, feaces,stool
amaziga	Tears
amazima	Truth
amoogi	Sharpness
amooya	Feathers/hair
ange	Mine
ekigarukyamu	Answer
arukwiragura	Black, black person
kyawe	Yours
kwata mungaro	To catchin the hands
abanyabuzale	Relatives
kulima mporampora	To dig over lightly
abazini	Chorus, choir
kirungi	Bleached calico (best quality)
kubazisa ekiniga	Speak loudly with anger
baamya	Okra
bachwezi	Demi-god, soldier
bagaya	They despise
abalimisa no'bulisa	Agricultural people and artisans
bahima	Pastoralists
bahuma	Pastroral cow-men
bakisaagya	Beyond expectation
bakura	To seize on, catch
kwatwa omuro	To catch fire (house)
Baraza	Monday
embalira	To estimate, budget, calculate
kusemererwa	To be joyfu
bambatara	To be squashed (soil)
bambataza	To squash
kuhikiriza	To fulfill
kwimukya	To lift up, raise
banganira	To belp
bankizaki	Large purple orchid
bara	To count,calculate
Barozi	A governor
batiza	To baptize
baza	To talk
baziira	To sew
bbaama	To be bent, warped
bbaamuura	To straighten, unbend
bbaamya	To make crooked, warp
ebaasa	Envelope
bbamu	Intensive with
bbamuka/kugwamu	To come unexpectedly
banyamalindwa	Guardians of others' flocks
bbani/oruhu	Buffalo hide
bbanka	Bank
bbanura	To dash down
bbaraza	Council
bbaruka	To burst
bbasitooro	Pistol, revolver
bbeeru	Flag. Banner, sail
bbeeseni/bafu	Basin
bbinika	Kettle
bbomba	Bicycle pump
kukaba	To collapse completely
empanga	Dig deep
bbuukura	Roar
bbwarruza	Crunch, snap
beene	Relative
begebege	Food, portion out
bembeka	Walk on heels
beregesa	To talk very fast
bibugo	Grave clothes
bicoboyo	Young beans
bicucuke	Dust. Rubbish
bicwe	Broth
bicwereriirwe	Invited thing
bifu	Dead goats;rotten seeds
bifunjo	Papyrus
bigene	Entertaining conversation
bigenge	Leprosy
bigesera	Hair plaited style
bigesero	Stubble, straw
bigondonka	Happenings, occurrences
bigono	Snoring
bigoye	Recover
biguuna	Ring conn
bihaarro	(used only inpl.fonn)
bihana	Dyspepsia pains
bibaniirro	Warning, caution
bihunda	Rubbish, refuse
bihwa	Whispered words
biihabiiha	To entice, seduce
bire	Bad, ugly
biihirwa	Be vexed, annoyed, troubled
biikiza	To set down
bijaga	Severe chronic syphilis
bijwajwa	Saliva, dribble
bijwenge	Long thick hair; fringe
bika	Announce the death
bikaiga	Young beans
bikambi	Dregs,refuse, rubbish
bikaogaara	Old leaves of herbs
bikangaarra	Skeleton
bikaoja	Dregs of beer
bikanka	Make threats
bikeerranwa	Waning moon
biko	Leaves of omuko tree
bikoora	Leaves, runners, dry tobaco
bikoorro	Sputum
bikuti	Middle husk of millet
Bikwebe	A response
bikya	Neck
brmira	Mucus of the nose
bimwemwe	Smile
bimira	Mucus of tbe nose
binda	To wear a loin-cloth
binkuti	Force a laugh
binkwabwa	Hair in the armpits
bintu	Things,wealth
binyansi	Weeds; worms
binyoobwa	Ground outs
binzaah	Curry powder
biraapara	Hurriedly
birerya	Husks of simsim
birezi	Secretion from eyes
biri	Root, two
biriibwa	Eatables, food
biriirra	To discharge, water (eyes)
birika	Snow
birikiirra	Accuse, tell tales about
biro	Days; periods
oturo	Sleepiness in the eyes
birungo	Seasoning,spices
birusu	Saliva
bisa	Labour pains
mabingo	Young reed
bisajwa	Fat of animals
bisaka	Herbal medicine
bisanku	Dry cow dung
biseereere	Beans
bisengere	Ironstone, dross, slag
bisi	Raw, uncooked, unripe, fresh
bisonde	Syphilis, yaws
bisokoro	Leaves of young beans
bisoodo	Fowls' dung, birds' droppings
bisuba	Lies, deceit
Bisuma	The Great Bear, Constellation
bisunga	Husks, shavings, refuse
bisuni	Variola, chicken pox
bisiyaga	Sodomy
bitaigi	Maizebefore it is fully-grown
bitanaki	Vomit
bitanta	Labia
bitaarra	Whiskers
bitege	Bandy legs
bitengo	Ragged clothes or skins
bitontoorro	Birds' dropping
biyaga	Addled infertile eggs
biyogoma	Flop down
boba	Ja kcal, fox
boha	To fasten, tie up
boboorra	Unfasten
bohorrooka	To unfasten
kunyeta	To be fat
boigora	To bark; speak roughly
bomwiboolezo	Market toll collectors
bona	Experience (trouble, etc.)
bonabona	Suffer
bonabonesa	To make one suffer
bondeerra	Forge, to dissolv
bonekera	To appear to
bonesa	To hurt, punish
boobeera	To be thoroughly cooked
boroogo	Wailing,lamentation
boyera	To quarrel with, attack
boyerangana	To attack eachother
boyesa	Scent, perfume
bubaagi	Flaying
bubaizi	Carpentry, joinery
bubaliirizi	Economy.stinginess
bubambaazi	Mad behavior
bubbaani	Species of resin, incense
bubi	Evil, harm;excrement
bubitihi	Lying, deceitfulness
buboijana	Loneliness, friendlessness, solitude
bubu	Large edible mushroom
bubuura	Loneliness solitude
buceke	Weakness,feebleness
buculeezi	Humility,meekness, docil ity, gentleness
bucwangya	Deceit,fraud
bucwekaih	Loss of children, bereavement
buda	To knead (cooked plantains)
budaida	Ceaselessly
budomadoma	To folly
budongo	Mud, mortar,clay for building
budoolidooli	Little, tinny
buduupe	Cunning,craftiness
buduuzi	Scorn, derision
bufaakatr	Widowhood
bufu	Greediness,selfishness
bufuoda	Narrowness,compression
bufuodaano	Suffocation, stifling,asphyx
bufuuhi	Jealousy
bugaajuki	Redness
bugabe	Freedom,right
bugabi	Generosity,booty
bugabuga	To be near death
bugambirambere	Talk at random
bugana	At liberty
buganiza	To clasp
buga.njaine	Friendship, affection
buganjani	Forch
buganyizi	Pity, mercy
buganzi	Affection,favoritism
bugeoyi	Feast
bugeregere	Sores between the toes
bugizi	Ability, power
bugobya	Deceit, fraud,hypocrisy
bugoga	Nature,disposition. Way etc
bugoigo	Sisal, hemp
bugole	Wedding
bugoorra	African eggplant, Solanum Macrocarpan
kusetura	Feed (cattle) early
bugumangani	Stiffness, fimmess, hardness, rigidness
bugumba	Barrenness, sterility
bubudamo	Reliance,security, strength, refuge
bugumizo	Forge
buguniiriza	Stubbornness
bugunule	Insolence
bugurusi	Old age
buguta	To rustle
buguuda	Wealth, riches
buguzi	Merchandise
bugwagwa	Foolishness
bugweterano	Inheritance, succession
bugwetwa	Inheritedproperty
busa	For nothing
buhaba	Folly
buhambirize	Force,compulsion
buhamizo	Stronghold,support, influence
bubaodiike	Written matter, correspondence
buhanga	Distant country
bubangaazi	Longevity, durability
buhangami	Scarcity
buhangirizi	Slander
buhango	Weight, size, bulk
buhangwa	Inherent,nature
buhara	Girlhood,maidenhood
buhate	Spitefulness
buheereza	Service
buhemu	Shame, disgrace
bubendeke	Fracture,sprain
buhere	Scabies. The itch
bu hiire	Good fortune, prosperity, success
buhoogozi	Extortion,rapine, plunder, fraud
buhoole	Insolence,self-wi ll, naughtiness, profligacy
buhulizi	Order,discipline, obedience
buhumbe	Multitude, crowd; delicacy
buhu nga	Flour
bubungu	Folly,indecency
bobuta	Wound,injury
buhuuhirizi	Fine rain,drizzle
bubwite	Senility, senile, decay
buhya	Pitfall for animals
buhyaka	Newness
bujagaali	Stupidity
bujojo	Elephantiasis
bujonjo	Secretion of the eyes
bujulizi	Evidence, testimony
bujunaanizibwa	Responsibility
bujune	Sorrow, trouble, misery, melancholy
bujwahi	Weariness, fatigue
Bukama	Kingdom
bukanga	At a high price
bukatuzi	Violence
bukaya	Fierceness
bukazi	Womanhood,female genitals
buke	Littleness, fewness
bukeeto	Stewardship
bukene	Die uncared for
bukerembe	Infancy
bukigi	Trypanosomyasis
bukiioiiki	Sarcasm
bukiiouuki	Rudeness
bukoonyezi	Help,assistance
bukooto	Size,bigness
Bukristaayo	Christianity
bukuku	Stinginess,rancidity
bukungani	Discord, strife
bukungu	Minor chieftainship
bukorungutaniza	Cunnningness, craftiness
bukwasizo/buyamba	Assistance,support
bukwataoe	Relationship
bukwatwa	Captivity,imprisonment
bukwenda	Deputed authority, ambassadorship, ministry,commission
bukyabukya	Daily, always
Buraya	Europe
bulebule	Completely
buleegi	Begging
bulehe	Compensation,reparation
bulemeezi	Weight,difficulty
bulemi	Rule, control,government, force
bulemu	War, battle, struggle, conflict
bulengerezi	Careful measurement (of food)
bulengi	Stinginess
yamba abaana	Care of children
burryegaitaho	Join
buliba	Rat trap
bulibweoguzi	Corruption
buliiririzi	Greed
buliro	Source of foodsupply, pasture
buliisa	Work of ashepherd; pastorate
burlisizo	Pasture
bulimi	Lisp
bulimi	Cultivation
bulindwa	Protection
bulingiri	Unsociability
bulinzi	Guardianship
buryo	Justice, reason
bumanyi	Knowledge,understand recognition
bumanyiizi	Experience
bumanzi	Courage
butwa	Poison
bumba	Mould
bumbaataniza	To clasp, tightly
bumbaatira	To gather under wings
bumbaatiza	To clasp tightly
bumburu	Species of beer banana
