Tukuŋŋaanya caayi emirundi ebiri mu mwaka	We harvest coffee twice a year
Emiti gy'emmwaanyi gyetaaga okusalirwa	Coffee trees need pruning
omuddo	Groundnut
Ensigo zirimu obutoffaali bungi	Groundnuts are rich in protein
Tulima ebikoola oluvannyuma lw'enkuba	We plant groundnuts after the rains
Enva endiirwa ekozesebwa mu kufumba	Groundnut oil is used for cooking
amatooke	Sweet potato
Ebizigo bibala bulungi mu ttaka eririmu omusenyu	Sweet potatoes grow well in sandy soil
Tukungula amatooke oluvannyuma lw'emyezi esatu	We harvest sweet potatoes after three months
amatooke	Potato
Amataali galimibwa mu bitundu eby'obusozi	Potatoes are grown in highland areas
Tufumba amatoffaali okulya	We boil potatoes for food
ensolo	Cattle
Ente ennume kye kisolo ekikulu mu Bunyoro	Cattle are important livestock in Bunyoro
Tulunda ente olw'amata n'ennyama	We keep cattle for milk and meat
Ente nga zirunda mu nnimiro	Cattle graze in the fields
ensolo	Pig
Tubeera n'embizzi ez'ennyama	We keep pigs for meat
Enkoko zirya ebisasiro	Pigs eat kitchen waste
Obulimi bw'embizzi buvaamu amagoba	Pig farming is profitable
obulimi bw'amata	Dairy farming
Okulima amata kireeta ssente mu maka	Dairy farming provides income for families
Ente ezirima amata zibala mata mangi	Dairy cows produce a lot of milk
okusaanuuka kw'ettaka	Soil erosion
Okusaanuuka kw'ettaka kwonoona ettaka	Soil erosion destroys farmland
Emiti giziyiza ettaka okusaanawo	Trees prevent soil erosion
Ssente	Price
Ebbeeyi y'eŋŋaano eyongedde	The price of maize has gone up
Abalimi beemulugunya olw'ebbeeyi entono	Farmers complain about low prices
okutunda	Sell
Abalimi batunda ebirime byabwe ku katale	Farmers sell their produce at the market
Tutunda enva endiirwa buli wiiki	We sell bananas every week
okugula	Buy
Twagula ensigo mu kkampuni	We buy seeds from the cooperative
Gavumenti egula ebirime ku balimi	The government buys grain from farmers
Ani, ku bano, ku	Who, of, these, for
ab'eŋŋanda z'omuntu	Someone's relatives
Okuyimuka amangu	To rise quick ly
okuggyawo, okuggyawo	To undo, unfasten
Abakulembeze b'ebitundu	Sub county chiefs
byange	Mine
Abakulembeze b'amasaza	County chiefs
Abakulembeze b'ebibiina	Sub-parish chiefs
Abakulembeze b'ebibiina	Parish chiefs
byange	Mine
Oyo anaawonyanga obuyinike,	He who relieves distress
Okusaasaanya ebirime	To thin out seedlings
adv., wabweru, wabweru	Adv., out, outside
Lindirira	Wait for
Wano	There
Amangu ago, amangu ago	Immediately, at once
Okuyawula, okwawula, okwawula	To separate, divide, differentiate
okuteekamu obwesige	Entrust with
Okweyawula ku	To part from
Mu kaseera ako	At that very moment
ekikonde	Squirrel
ebinyonyi	Squirrels
Okulaga enkola y'ebintu	Indicating sequence of events
empungu	Eagle
ebinyonyi	Eagles
amaanyi, okuwalirizibwa	Force,compulsion
okuwalirizibwa, okuwalirizibwa	Force,compulsions
waggulu mu ggulu	Up in the sky
ekikondo, ekikondo	Razor blade,shaving blade
ekikondo, ebikondo	Razor blade,shaving blades
Okuwangula mu muzannyo	Win in a game
Okuwangula mu mizannyo	Win in a games
Ekiseera ekisinga obuseera	Shortest period of time
Ekiseera ekisinga obuseera	Shortest period of times
Ekika ky'ebisulo	A type of swamp
Ekika ky'ebibira	Type of swamps
ekyenyonyi ekitono	A small caterpillar
ebinyonyi	Small caterpillars
Omukka mulungi	Nice scent
obuwoowo obulungi	Nice scents
entandikwa y'ekimera	Initial stage of flowering
entandikwa y'ekimera	Initial stage of flowerings
Obusiriikirire olw'okwewuunya	Silence due to suprise
Obusiriikirire olw'ebyewuunyisa	Silence due to suprises
ensolo entono	Small lizard-like animal
Ensolo entono eziri ng'ebinyonyi	Small lizard-like animals
Hymen: ekisenge ky'omusaayi	Hymen: vagina membrane
omusujja gw'obukiika obwa ddyo	Hymen: vagina membranes
ku nkomerero y'omugongo	End of breastbone
enkomerero y'omugongo	End of breastbones
hill: olusozi	Hillock: small hill
Hillock: obusozi obutonotono	Hillock: small hills
omuzira	Sparrow-hawk
ebinyonyi ebiyitibwa sparrow-hawks	Sparrow-hawks
ebisiikirize	Weasel
ebinyonyi	Weasels
ebisasiro: ekyambalo ekikadde ekyamenyese	Rags:an old torn cloth
ebisasiro: ebibukutu eby'edda	Rags:an old torn cloths
ekikondo	A sieve
ebikoola	Sieves
ekitali kirongoofu	Blemish
obunafu	Blemishes
engoye enkadde ennyo	A very old cloth
engoye enkadde ennyo	Very old cloths
ekituli, ekitono	Hole,small
ekituli, obuto	Hole,smalls
bat: omuyiggo ogubuuka	Bat: a flying mammal
bat: ensolo ezibuuka	Bat: a flying mammals
ebitundu by'ekyama	Penis
ebisiikirize	Penises
Ekika ky'omusota	A type of snake
Ebika by'emisota	Type of snakes
ekintu ekikolebwa ekisukkiridde	Something done excessively
Ekintu ekikolebwa ekisukkiridde	Something done excessivelies
ekikonde	Pail or bucket
ebitooke oba ebitooke	Pail or buckets
empapula	Cyperus papyrus
ebisiikirize	Cyperus papyruses
ekizikiza	Darkness
eby'ekizikiza	Darknesses
embuyaga	Whirlwind
embuyaga	Whirlwinds
obugoye: obugoye	Bungle: a bracelet
obugoye: obugoye	Bungle: a bracelets
Akatyabaga: embeera embi eteri yasuubirwa	Calamity: unexpected bad situation
Akabi: embeera embi ezijjawo nga tetusuubira	Calamity: unexpected bad situations
ekiro, akawungeezi	Twilight,dusk
ekiro, ekiro	Twilight,dusks
Enzige ey'ekika kya brownish	. A brownish grasshopper
. enkuyege enkwafu	. A brownish grasshoppers
Akavuyo	Chaos
obutali bwenkanya	Chaoses
Okuvuganya ku kintu	Competetion for something
Okuvuganya ku kintu	Competetion for somethings
okukaaba	Hiccup
okukaaba	Hiccups
klitoris	Clitoris
ebituli (clitorises)	Clitorises
ekimuli	A small moth
ebinyonyi	Small moths
okukaaba	Hiccup
okukaaba	Hiccups
Okutabulwatabulwa	A state of confusion
Embeera ey'okutabulwatabulwa	State of confusions
ekimuli ekitono ekibuuka	A small flying termite
ebinyonyi ebinyonyi ebinyonyi ebinyonyi	Small flying termites
okufeebezebwa	Contempt
Obunyoomi	Contempts
ekibikka	A pen cover
ebibikka	Pen covers
omukka: omukka omubi	Stench: an unpleasant smell
omukka: omukka omubi	Stench: an unpleasant smells
olusozi olutonotono	A small hillock
obusozi obutonotono	Small hillocks
okukaaba	Dizziness
okukaaba	Dizzinesses
Ekitundu ekirimu ebisooto	A muddy area
ebifo ebirimu ebinnya	Muddy areas
omunnyo omumyufu	Sweet taste
eby'omunnyo	Sweet tastes
olw'essanyu eringi	Over excitement
olw'essanyu eringi	Over excitements
Obulumbaganyi	Commotion
Obulumi	Commotions
ku mutindo, ku mutindo	To level, flat
Okusaasaanya	To spread for
okujja	To come
Diamond	Diamond
Okutandika	To get started
Okwagala okutambula	Passion for roaming
Okwagala okutambula	Passion for roamings
Katto omuto oba omulungi	Small or beautiful cat
embalaasi entono oba ennungi	Small or beautiful cats
omuddo	Nut grass
ebikoola	Nut grasses
Empisa ez'omu ttaka	Superficial behaviour
Empisa eziri ku ttaka	Superficial behaviours
ebisiikirize	Dung maggot
ebisiyaga	Dung maggots
enkuyege enkalu	A fresh fried grasshopper
ebisiyaga ebipya	Fresh fried grasshoppers
ensimbu	Small snail
ebinyonyi ebitonotono	Small snails
ffuuti: ekyuma eky'okuyimba	Flute: a musical instrument
ffuuti: ekyuma eky'okuyimba	Flute: a musical instruments
ekikonde	Squirrel
ebinyonyi	Squirrels
omubisi gw'enjuki ogutannakula	An undeveloped banana
enva endiirwa	Undeveloped bananas
Okwegezaamu, okuggya obubi	To exercise, remove evil
Okuyita ekimera	To call a bud
Okukaaba	To shout at
Okutaataaganya oba okuleetawo obukyayi obutayosa	Continuous disturbance or provocation
Okutawaanya oba okuleetera omuntu okukola ekintu ekitali kya bwenkanya	Continuous disturbance or provocations
Omuddo oguliibwa embuzi	Shrub eaten by goats
Embuzi bwe zirya omuddo	Shrub eaten by goatses
omutindo:	: hyphen
: obugambo obuli wansi	: hyphens
olugoye oluwanvu ennyo	:a very tight cloth
ebyambalo ebinywevu ennyo	:a very tight cloths
ensigo z'omuzigo	:mustard seed
ensigo z'omuddo	:mustard seeds
:ekintu eky'obusika	:inherited trait
:ebiri mu buzaaliranwa	:inherited traits
:ekika oba engeri ey'obusika	:inherited character or trait
:ekika oba engeri ez'obusika	:inherited character or traits
:ebigambo ebitalina mugaso	:a slunderous utterance
"Ebigambo eby'obusirusiru"	:a slunderous utterances
: olusozi oluwanvu	: a steep slope
ebinnya eby'amaanyi	: a steep slopes
: okusekererera	:sarcasm
okusavuwaza	:sarcasms
okwegomba okw'okwetaba	:lust for sex
okwegomba okw'okwetaba	:lust for sexes
Okukaaba omubiri	To scratch the body
Okupikirizibwa	:peer pressure
Okupikirizibwa	:peer pressures
: olunyiriri	:lineage
ebika	:lineages
:ekintu ekirungi, oba ekirabika obulungi	:something good, or beautiful
:ekintu ekirungi, oba ebirabika obulungi	:something good, or beautifuls
ekkolero	:a clinic
ebifo eby'obujjanjabi	:a clinics
: .olusozi oluwanvu	:.a steep slope
n'ebisenge eby'amaanyi	:.a steep slopes
:valve ey'ebigere	:valve for a tyre
:valve for a bbaayi	:valve for a tyres
ennyumba entono	:a small hut
ennyumba entono	:a small huts
ekifo ekitali kirongoofu	:a sloppy place
:ebifo ebirimu obutali bulongoofu	:a sloppy places
entikko, entikko	Slope, descent
entikko, entikko	Slope, descents
ebikoola bya pulasitiki	:plastic sheeting
ebikoola bya pulasitiki	:plastic sheetings
:Katonda mu ddiini y'obusiraamu	:God in Islamic religion
omwenge: eky'okunywa ekirimu omwenge	:beer: an alcoholic drink
ebisiba by'embwa	: dog teats
:okuba n'empisa ennungi	:being stylish
Ensimbi z'omu Rwanda	:Rwandese currency
: abantu abasembeza abagenyi	: hospitable people
ebitundu	:spots
entalo, enkwe, n'ebirala	:conflicts, intrigues, etc
ebikoola ebisooka	:first leaves of beans
ebikondo	Ish scales
enva endiirwa.)	Undiluted banana juice.)
Ensi eziriraanye)	Neighbouring countries)
okuseka n'omutima gwonna	A hearty laugh
omuddo	Sunflower)
ebimera ebirime	Germinated plants
amagumba g'ekisambi	Pelvic bones
Ebibala by'enjuba	Rays of the sun
okukaaba ennyo	Sweating profusely
Ekika ky'ebisenge	Type of beads
amazzi;amazzi agannyogoga	Water;cold water
Obutaliimu, obutaliimu	Nothing, emptiness
ebikoola by'enva endiirwa	.dry banana leaves
amasannyalaze	. Electricity
amata ga maama	Breastmilk
Obusa bw'empologoma	. A cat's dung
ebisasiro by'ebinyonyi	Bird's droppings
amata amayonjo	Fresh milk
ebyokebwa	Burns
amazzi agookya	Hot water
ekkubo	A road junction
amadaala	Steps, or staircases
emipiira	Shelves
amabala	Dots or spots
Okusuubira, okweraliikirira, obuteebereza	Expectancy, suspense, uncertaint
abalongo	Identical twins
enkola z'okuzina	Dancing styles
Nedda: eky'okuddamu ekikyamu	No: a negative response
amayinja ag'omuwendo omungi	Precious stone
Olunaku lw'Okuzuukira	Ascension Day
asidi	Acid
ennyumba entono	Small hut
ennyumba entono	Small huts
akakadde kamu	One million
obukadde	One millions
ekyuma	A sieve
ebikoola	Sieves
ekisinziiro	Heel
ebikonde	Heels
entikko	Slope
ebikondo	Slopes
obugambo obuli mu lunyiriri	Apostrophe
ebiwandiiko	Apostrophes
ekimera ekyewalula	A creeping plant
ebimera ebikulukuta	Creeping plants
Okwogera okw'obuteefiirayo	A careless talk
Emboozi ez'obutafaayo	Careless talks
Ebiseera ebizibu	Difficult times
Ebiseera Ebizibu	Difficult timeses
Emirembe	Some peace
Ebisusunku	Some peaces
akabokisi akatono	Small packet
ebipakiti ebitonotono	Small packets
ekisambi	Chin
ebinywa	Chins
ebigere ebitonotono	Thin leg
amagulu amatono	Thin legs
bucket, bucket	Pail,bucket
ebbaasi, ebbaasi	Pail,buckets
omuddo	Tangerine
ebisiikirize	Tangerines
akabonero	Sign
obubonero	Signs
ensolo	Hare
ebinyonyi	Hares
ekitebe, ekifo ekiriko akasumuluzo	Stool,lockable desk
ekitebe, amaduuka agaziikibwa	Stool,lockable desks
akabonero, ekiwundu	A mark,a scar
Mark, ebiwundu	Mark,a scars
ekisenge ky'enkoko	A chick-bone
amagi g'enkoko	Chick-bones
emigaati	Finely ground millet flour
emigaati n'ebizimbulukusa	Finely ground millet flours
omumwa	Mouth
emimwa	Mouths
ekyennyanja	Tortoise
ebinyonyi	Tortoises
okufuluma, okufuluma	Tumult, uproar
okufuluma, okufuluma	Tumult, uproars
Ekika ky'ekikulukuto	Type of mushroom
Ebika by'ebikoola	Type of mushrooms
omuddo omweru omutono	Small white mushroom
ebikoola	Small white mushrooms
omuzira	Yellow oxalis
oxalises eza kyenvu	Yellow oxalises
omupiira omutono, kondomu	Small ball, condom
omupiira omutono, kondomu	Small ball, condoms
omuzira	Chameleon
ebinyonyi	Chameleons
obusaasizi ekikolimo okwemulugunya	Misfortune curse grumbling
Obunafu	Trait of weakness
Obunafu	Trait of weaknesses
akabonero	Sign, symbol
akabonero, obubonero	Sign, symbols
enkuyege entono eziruma	Tiny biting fly
Enkuyege entono eziruma	Tiny biting flies
ekikomera	A comma
empapula	Commas
ebikoola, ebikoola by'enviiri	Comb, hair brush
ebikoola, ebikoola by'enviiri	Comb, hair brushes
akabi, obuzibu	Danger, difficulty
Akabi, obuzibu	Danger, difficulties
Obulumbaganyi obw'amaanyi, okutabulwatabulwa	Greatcommotion, confusion
Okutabuka okw'amaanyi, okutabuka	Greatcommotion, confusions
ekyuma ekikulukusa	Shaker
eby'okusaasaanya	Shakers
ensigo	Seed
ensigo	Seeds
ekizikiza ekikutte	Complete darkness
ekizikiza ekikutte	Complete darknesses
funa ekifo eky'okuddukiramu	Make shift hut
Okuzimba ennyumba ez'okuddukanya	Make shift huts
ekituli	Epiglottis
ebituli	Epiglottises
enjuba y'akasolya	Tip of a roof
enkomerero y'ebisenge	Tip of a roofs
ekintu	Tip of something
Ebintu ebimu	Tip of somethings
okusendasenda	Enticement, persuasion
okusendasenda	Enticement, persuasions
enjuba y'oku makya	Morning sunshine
enjuba ng'eyaka ku makya	Morning sunshines
Ebiro, ebiro	Time, season
Ebiseera, ebiro	Time, seasons
ekikoola ky'omuddo	A straw of grass
omuddo gw'omuddo	Straw of grasses
envumbo entono	Small anthill
ebibinja by'ebinyonyi ebitonotono	Small anthills
endiga	Small sheep
endiga entono	Small sheeps
akatale	Market
Amaduuka	Markets
ekitooke	Handkerchief
ebitooke	Handkerchiefs
Obusanyu obupya	Newly found excitement
Ebintu ebipya ebibuguumiriza	Newly found excitements
net, wire mesh	Net, wire mesh
ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola, ebikoola	Net, wire meshes
ekibira ekitono	A thicket, small forest
ebibira, ebibira ebitonotono	Thicket, small forests
akawunti, akawunti	A dot, full stop
dot, ekikomera	Dot, full stops
ebibala ebitonotono	Small passion fruit
ebibala ebitono	Small passion fruits
omuzigo	An onion
ebisiikirize	Onions
omuddo omutono	Small mushroom
ebikoola	Small mushrooms
ekikonde	Squirrel
ebinyonyi	Squirrels
ebirwadde eby'olukonvuba	Chronic
Ebitabo by'Ebyomumirembe	Chronics
Tekiba kya muganyulo	Uncalled for familiarity
Ekintu eky'amangu	Something for emergency
Alfabeti	Alphabet
Lipoota	Report
amaanyi, obuyinza, ebikolwa eby'obukambwe, amaanyi	Strength,authority, violence, force
amayinja	Stones
amagulu	Shoulders
empewo ennungi	Fresh air
ebikoola, omuddo gw'enjovu	Reeds, elephant grass
ebyokulya ebirimu amasavu, ebyokulya ebirimu amasavu, ebyokulya ebirimu amasavu, ebyokulya ebirimu amasavu, ebyokulya ebirimu amasavu, ebyokulya ebirimu amasavu, ebyokulya ebirimu amasavu, ebyokulya ebirimu amasavu, ebyokulya ebirimu amasavu, ebyokulya ebirimu amasavu, ebyokulya ebirimu amasavu, ebyokulya ebirimu amasavu, ebyokulya ebirimu amasavu, ebyokulya ebirimu amasavu	Savouries, delicacies
omuddo	Sesame
omuddo	Sesame
ekirwadde kya asima, ekirwadde kya bronchitis	Asthma, bronchitis
ebikondo	Spears
amata ag'ekikaba	Churned milk
obukuusa, obukugu, amagezi	Cunning, craft, wisdom
amazzi g'omusaayi	Saliva, spittle
ebikondo, amadaala	Ladders, steps
ebisiikirize	Pleats
amaaso	Eyes
ensigo za kasooli	Hemp seed
ebisasiro, ebisasiro	Faeces, excrement
Obuzibu	Difficulty
Ekikumi (100), eby'obugagga	Hundred(100), wealth
omusujja gw'ente	Urine of cattle
Okubonaabona	Grief
Obulamu, amaanyi, obulamu	Health, strength, life
Ebitundutundu	Overflowing grains
olugendo lw'okukomawo	Return journey
Okugenda, olugendo olw'okufuluma	Going, an outward journey
Okukungula	Reaping
Amagezi	Wisdom
Empeera	Profits
ebituli	Testicles
emizabbibu eminene	Large granaries
Amawanga	Nations
ebyamagero	Wonders
amayinja	Horns
amagi	Eggs
embuyaga ey'omu bukiikakkono	Northwest wind
Amawulire	News
ebitoogo bya bakabaka	Small royal drums
okwegomba okw'amaanyi	Intense desire
amaaso, amaaso	Eyes, face
ebitundu eby'ebisenge ebiriko enkovu	Frayed, jagged edges
enviiri	Hair
Okuvuga emmotoka ng'ova mu mpuku	To drive from lair
eby'okwambala, eby'okwambala, eby'okusavuwaza	Decoration, adornment, exaggerations
okukwata	To tie loosely
ebisiba eby'omu langi enzirugavu, eby'okusiiga	Red stitching, embroidery
amayumba	Homes, homestead
amazzi ag'omubisi	Curdled milk, junket
amatoffaali	Charcoal
okuddamu, okuddamu	To answer, reply
amabeere amanene	Fat cheeks
mu kiwato	Waist
emizabbibu egy'omu nsiko	Wild strawbberries
ebibegabega	Round shoulders
Okwoleka omwoyo ogw'okusembeza abagenyi	Hospitality
mu bigere	In footmall
Amawulire, amakulu, amakulu, okunnyonnyola	News, meaning, sense, interpretation
ekkubo eryangu	Short cut
ebibegabega	Round shoulders
obutali bulongoofu	Rudeness
ebinyonyi by'amazzi	Water lilies
fern	Fern
Okukola ekisukkiridde, okwesavuwaza	Over doing, exaggeration
obukuusa, obukuusa	Cunning, craft
Ford, ekifo eky'okutuukamu	Ford, landing site
Okuggwaamu amaanyi	To be exhausted
okusaasaanya	To scatter, exhaust
eby'obugagga eby'edda	Old mines
Amazima	Truth
amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayinja, amayin	Hot charcoal, coals, charcoal
ebituli	Mumps
ebituli	Armpits
Amatoffaali agaakolebwa ebiwuka ebiyitibwa termites	Tunnels made by termites
ebiwaawaatiro by'ensolo	Claws of an animal
obutoffaali	Semen
ekirimu ebbugumu, ekirimu ebbugumu	Damp, cold
bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets bullets	Cartridge bolt
ebitundu by'omubiri ebitonotono	Bowels, small intenstines
amaloboozi, ensingo, ensingo	Voices, throat, larynx
okukaaba, okukaaba	Squint, cross-eyes
Okubeera nga tolina mikwano	To be left friendless
Okugattululwa	Divorce
Okukubagana	To bate each other
okwaka	To shine
Okuba amangu	To be quick
okwanguyiriza, okwanguyiriza	To hasten, accelerate
Okukalira mpolampola	To dry slowly
Okukola, okubala	To make, to bear(fruit)
okusaasaanya	To spread out
okuba n'endowooza enkyamu	To be lascivious, licentious
Okufuula omuntu ow'obugwenyufu, eyeenyigira mu bikolwa eby'obugwenyufu	To make lascivious, licentious
okuyiiya	Forge
Okuggula (ekitabo)	To open (book)
Okubuuza ebibuuzo mu ngeri ey'obukuusa	To question deceitifully, provoke
Okubeera omutetenkanya	To be level
Okuteekebwa, okuteekebwa	To be spread, furnished
Okuggula (olw'akamwa)	To open (of mouth)
okufumita, okufumita	To crush, pound
okufuluma	To hatch out
Ebika by'ebimuli	Type of lilies
Amalala	Pride
ensigo enzirugavu	Scarlet seeds
ebibanja, ebirime	Estates, plantations
Latex y'omuti gw'ekikaba	Latex of rubber tree
amayinja ag'omu nsiko, amayinja ag'omu nsiko, amayinja ag'omu nsiko, amayinja ag'omu nsiko, amayinja ag'omu nsiko, amayinja ag'omu nsiko, amayinja ag'omu nsiko, amayinja ag'omu nsiko	Ivory, tusks
amatabi, ebikoola	Leafy twigs, foliage
ebisiikirize	Sparks
amasasi	Bullets
okukka, okugwa, obukiika obwa ddyo	Descent, slope,south
ku ntikko y'omuti	Top of a tree
ekiwuubaalo	Loneliness, solitude
amata amayonjo	Fresh milk
ebikoola	Whiskers
raffia	Raffia
amata	Milk
ebikoola, ebikoola	Harness, saddle
ebikoola	Patches
Emiggo gy'enguudo	Cross-roads, junction
ebikondo	Ladders
amatu	Ears
Ensimbi ezisangibwa ku miti	Fungus found on trees
olunaku lw'amazaalibwa	Birthday
ebisasiro, ebisasiro, ebisasiro	Dung, feaces,stool
amaziga	Tears
Amazima	Truth
Obunnyogovu	Sharpness
Enviiri/enviiri	Feathers/hair
byange	Mine
Eky'Okuddamu	Answer
omuddugavu, omuddugavu	Black, black person
byammwe	Yours
Okukwata engalo	To catchin the hands
Ab'eŋŋanda	Relatives
Okukumba n'obwegendereza	To dig over lightly
ab'okuyimba	Chorus, choir
Calico (ekika ekisingirayo ddala obulungi)	Bleached calico (best quality)
Yogera mu ddoboozi ery'omwanguka	Speak loudly with anger
okra	Okra
Katonda ow'ekitundu, omuserikale	Demi-god, soldier
Banyooma	They despise
Abalimi n'abakola emirimu gy'emikono	Agricultural people and artisans
Abasumba	Pastoralists
ab'ente ez'omu nsiko	Pastroral cow-men
Ebisingawo ku ebyo bye twali tusuubira	Beyond expectation
okukwata, okukwata	To seize on, catch
Okukwata omuliro (ennyumba)	To catch fire (house)
ku Lwokusatu	Monday
