runyoro_term,english_term,part_of_speech,domain,definition_en,notes
oburebure,[GENERAL_NOUN_PLURAL]:a slunderous utterances,,general,,
muyaye,[GENERAL_NOUN]:sarcasm,,general,,
obuyaye,[GENERAL_NOUN_PLURAL]:sarcasms,,general,,
kwaka,[GENERAL_NOUN]:lust for sex,,general,,
kwaka,[GENERAL_NOUN_PLURAL]:lust for sexes,,general,,
akatiko,[GENERAL_NOUN]:peer pressure,,general,,
obutiko,[GENERAL_NOUN_PLURAL]:peer pressures,,general,,
akarondo,[GENERAL_NOUN]:lineage,,general,,
oburondo,[GENERAL_NOUN_PLURAL]:lineages,,general,,
akarwariro,[HEALTH_AND_MEDICINE_NOUN]:a clinic,,health,,
oburwaro,[HEALTH_AND_MEDICINE_NOUN_PLURAL]:a clinics,,health,,
akashuumo,[GENERAL_NOUN]:.a steep slope,,general,,
akakokomoko,[GENERAL_NOUN_PLURAL]:.a steep slopes,,general,,
akasisira,[GENERAL_NOUN]:a small hut,,general,,
obusisira,[GENERAL_NOUN_PLURAL]:a small huts,,general,,
akasirimuko,[GENERAL_NOUN]:a sloppy place,,general,,
obusirimuko,[GENERAL_NOUN_PLURAL]:a sloppy places,,general,,
akasirimuko,"[GENERAL_NOUN] slope, descent",,general,,
obusirimuko,"[GENERAL_NOUN_PLURAL] slope, descents",,general,,
akaveera,[GENERAL_NOUN]:plastic sheeting,,general,,
obuvera,[GENERAL_NOUN_PLURAL]:plastic sheetings,,general,,
amabere ge'mbwa,[COMMON_ANIMALS_NOUN]: dog teats,,general,,
amadaraka,[GENERAL_NOUN]:being stylish,,general,,
amafaranga,[ECONOMICS_AND_COMMERCE_NOUN]:Rwandese currency,,general,,
makune,[GENERAL_NOUN]: hospitable people,,general,,
eraama,[GENERAL_NOUN]:spots,,general,,
obutabaijuko,"[GENERAL_NOUN]:conflicts, intrigues, etc",,general,,
ebikarakate,[GENERAL_NOUN] ish scales,,general,,
amakuute,[GENERAL_NOUN] neighbouring countries),,general,,
amacande,[GENERAL_NOUN] sunflower),,general,,
amamera,[GENERAL_NOUN] germinated plants,,agriculture,,
enyugunyu,[GENERAL_NOUN] pelvic bones,,general,,
ekitungutana,[GENERAL_NOUN] sweating profusely,,general,,
amaizi aga kufuka,[GENERAL_NOUN] water;cold water,,general,,
amasa,"[GENERAL_NOUN] nothing, emptiness",,general,,
ebisansa,[GENERAL_NOUN].dry banana leaves,,general,,
amasanyarazi,[TECHNOLOGY_NOUN]. Electricity,,general,,
amasereka,[GENERAL_NOUN] breastmilk,,general,,
ebisodo,[GENERAL_NOUN] bird's droppings,,general,,
amasununu,[GENERAL_NOUN] fresh milk,,general,,
amasya,[GENERAL_NOUN] burns,,general,,
amaizi aga kwokya,[GENERAL_NOUN] hot water,,general,,
amaterekero,[GENERAL_NOUN] shelves,,general,,
abarongo,[GENERAL_NOUN] identical twins,,general,,
amazina,[GENERAL_NOUN] dancing styles,,general,,
ibale lyo'muhendo,[GENERAL_NOUN] precious stone,,general,,
ekiro kyo'kutemba mwiguru,[GENERAL_NOUN] Ascension Day,,general,,
asidi,[CHEMISTRY_NOUN] acid,,general,,
kasisira,[GENERAL_NOUN] small hut,,general,,
obusisira,[GENERAL_NOUN_PLURAL] small huts,,general,,
akakaikuru kamu,[MATHEMATICS_NOUN] one million,,general,,
akakaikuru kamu,[MATHEMATICS_NOUN_PLURAL] one millions,,general,,
akakekeeyo/ akasenginjo,[GENERAL_NOUN] a sieve,,general,,
obukekeyo/ obusenginjo,[GENERAL_NOUN_PLURAL] sieves,,general,,
akakongoijo,[GENERAL_NOUN] heel,,general,,
obukongoijo,[GENERAL_NOUN_PLURAL] heels,,general,,
akakonkomoko,[GENERAL_NOUN] slope,,general,,
obukokomoko,[GENERAL_NOUN_PLURAL] slopes,,general,,
akakunukizi,[GENERAL_NOUN] apostrophe,,general,,
obukunukizi,[GENERAL_NOUN_PLURAL] apostrophes,,general,,
kurandaranda,[NATURE_AND_ENVIRONMENT_NOUN_PLURAL] creeping plants,,agriculture,,
obulebule,[GENERAL_NOUN_PLURAL] careless talks,,general,,
akalebulebu,[GENERAL_NOUN] difficult times,,general,,
obulebule,[GENERAL_NOUN_PLURAL] difficult timeses,,general,,
akaleecu,[GENERAL_NOUN] some peace,,general,,
obuleecu,[GENERAL_NOUN_PLURAL] some peaces,,general,,
akaregete,[GENERAL_NOUN] small packet,,general,,
oburegete,[GENERAL_NOUN_PLURAL] small packets,,general,,
akaleju,[GENERAL_NOUN] chin,,general,,
obuleju,[GENERAL_NOUN_PLURAL] chins,,general,,
akalenge,[GENERAL_NOUN] thin leg,,general,,
obulenge,[GENERAL_NOUN_PLURAL] thin legs,,general,,
edebe,"[GENERAL_NOUN] pail,bucket",,general,,
edebe,"[GENERAL_NOUN_PLURAL] pail,buckets",,general,,
akamaganda,[GENERAL_NOUN] tangerine,,general,,
obumaganda,[GENERAL_NOUN_PLURAL] tangerines,,general,,
akamanyiso/akarorwaho,[GENERAL_NOUN] sign,,general,,
obumanyiso/oburorwaho,[GENERAL_NOUN_PLURAL] signs,,general,,
kame,[COMMON_ANIMALS_NOUN] hare,,general,,
obume,[COMMON_ANIMALS_NOUN_PLURAL] hares,,general,,
akameeza,"[GENERAL_NOUN] stool,lockable desk",,general,,
obumeza,"[GENERAL_NOUN_PLURAL] stool,lockable desks",,general,,
obumogo,"[GENERAL_NOUN_PLURAL] mark,a scars",,general,,
akanenero,[COMMON_ANIMALS_NOUN] a chick-bone,,general,,
obunenero,[COMMON_ANIMALS_NOUN_PLURAL] chick-bones,,general,,
akanwa,[GENERAL_NOUN] mouth,,general,,
obunwa,[GENERAL_NOUN_PLURAL] mouths,,general,,
akanyamankogoto,[COMMON_ANIMALS_NOUN] tortoise,,general,,
obunyamankogoto,[COMMON_ANIMALS_NOUN_PLURAL] tortoises,,general,,
akanyamuryaine,"[GENERAL_NOUN] tumult, uproar",,general,,
obunyamuryaine,"[GENERAL_NOUN_PLURAL] tumult, uproars",,general,,
akanyuunyambuzi,[GENERAL_NOUN] yellow oxalis,,general,,
obunyuunyambuzi,[GENERAL_NOUN_PLURAL] yellow oxalises,,general,,
akapimpina,[COMMON_ANIMALS_NOUN] chameleon,,general,,
enyampimpina,[COMMON_ANIMALS_NOUN_PLURAL] chameleons,,general,,
akarorwaho,"[GENERAL_NOUN] sign, symbol",,general,,
oburorwaho,"[GENERAL_NOUN_PLURAL] sign, symbols",,general,,
akahumuza,[GENERAL_NOUN] a comma,,general,,
obuhumuza,[GENERAL_NOUN_PLURAL] commas,,general,,
akasarre,"[GENERAL_NOUN] danger, difficulty",,general,,
obusarre,"[GENERAL_NOUN_PLURAL] danger, difficulties",,general,,
akasasamaro,"[GENERAL_NOUN] greatcommotion, confusion",,general,,
obusasamaro,"[GENERAL_NOUN_PLURAL] greatcommotion, confusions",,general,,
akasekende,[GENERAL_NOUN] shaker,,general,,
obusekende,[GENERAL_NOUN_PLURAL] shakers,,general,,
esigo,[GENERAL_NOUN] seed,,agriculture,,
esigo,[GENERAL_NOUN_PLURAL] seeds,,agriculture,,
omwirima,[GENERAL_NOUN] complete darkness,,general,,
omwirima,[GENERAL_NOUN_PLURAL] complete darknesses,,general,,
akasondaburo,[GENERAL_NOUN] epiglottis,,general,,
obusondaburo,[GENERAL_NOUN_PLURAL] epiglottises,,general,,
akasoono,"[GENERAL_NOUN] enticement, persuasion",,general,,
obusoono,"[GENERAL_NOUN_PLURAL] enticement, persuasions",,general,,
akasoonooki,[GENERAL_NOUN] morning sunshine,,general,,
obusoonooki,[GENERAL_NOUN_PLURAL] morning sunshines,,general,,
akasumi,"[GENERAL_NOUN] time, season",,general,,
obusumi,"[GENERAL_NOUN_PLURAL] time, seasons",,general,,
akaswa,[COMMON_ANIMALS_NOUN] small anthill,,general,,
obuswa,[COMMON_ANIMALS_NOUN_PLURAL] small anthills,,general,,
akataama,[COMMON_ANIMALS_NOUN] small sheep,,general,,
obutaama,[COMMON_ANIMALS_NOUN_PLURAL] small sheeps,,general,,
akatale,[GENERAL_NOUN] market,,general,,
obutale,[GENERAL_NOUN_PLURAL] markets,,general,,
akatambaara,[GENERAL_NOUN] handkerchief,,general,,
obutambaara,[GENERAL_NOUN_PLURAL] handkerchiefs,,general,,
akatunguru,[GENERAL_NOUN] an onion,,general,,
obutunguru,[GENERAL_NOUN_PLURAL] onions,,general,,
akatuzi,[GENERAL_NOUN] small mushroom,,general,,
obutuzi byo'bwera,[GENERAL_NOUN_PLURAL] small mushrooms,,general,,
akawamuje,[COMMON_ANIMALS_NOUN] squirrel,,general,,
obuwamuje,[COMMON_ANIMALS_NOUN_PLURAL] squirrels,,general,,
akazingo,[GENERAL_NOUN] chronic,,general,,
obuzingo,[GENERAL_NOUN_PLURAL] chronics,,general,,
alifabeti,[GENERAL_NOUN] alphabet,,general,,
alipoota,[GENERAL_NOUN] report,,general,,
amabaale,[GENERAL_NOUN] stones,,general,,
amabega,[GENERAL_NOUN] shoulders,,general,,
amabeho,[GENERAL_NOUN] fresh air,,general,,
nyamunura,"[GENERAL_NOUN] savouries, delicacies",,general,,
amacande,[GENERAL_NOUN] sesame,,general,,
entungo,[GENERAL_NOUN] sesame,,general,,
amacu,"[HEALTH_AND_MEDICINE_NOUN] asthma, bronchitis",,health,,
amacumu,[GENERAL_NOUN] spears,,general,,
amacunda,[GENERAL_NOUN] churned milk,,general,,
amacwanta,"[GENERAL_NOUN] saliva, spittle",,general,,
amadaara/amatembero,"[GENERAL_NOUN] ladders, steps",,general,,
amadinda,[GENERAL_NOUN] pleats,,general,,
amaiso,[GENERAL_NOUN] eyes,,general,,
amaduli,[GENERAL_NOUN] hemp seed,,agriculture,,
amaazi,"[GENERAL_NOUN] faeces, excrement",,general,,
obugumangaine,[GENERAL_NOUN] difficulty,,general,,
amagana,"[GENERAL_NOUN] hundred(100), wealth",,general,,
amaganya,[GENERAL_NOUN] grief,,general,,
ensigo ezakya muno,[GENERAL_NOUN] overflowing grains,,agriculture,,
amagaruka,[GENERAL_NOUN] return journey,,general,,
amagesa,[GENERAL_NOUN] reaping,,general,,
amagezi,[GENERAL_NOUN] wisdom,,general,,
amagoba,[GENERAL_NOUN] profits,,general,,
amagosi,[GENERAL_NOUN] testicles,,general,,
amaguli,[GENERAL_NOUN] large granaries,,general,,
amahanga,[GENERAL_NOUN] nations,,general,,
amahano,[GENERAL_NOUN] wonders,,general,,
amahembe,[GENERAL_NOUN] horns,,general,,
amahuli,[GENERAL_NOUN] eggs,,general,,
amahunge,[GENERAL_NOUN] Northwest wind,,general,,
amakuru,[GENERAL_NOUN] news,,general,,
amairu,[GENERAL_NOUN] intense desire,,general,,
amaiso,"[GENERAL_NOUN] eyes, face",,general,,
isoke/ ekyoya,[GENERAL_NOUN] hair,,general,,
amaka,"[GENERAL_NOUN] homes, homestead",,general,,
amakara,[GENERAL_NOUN] charcoal,,general,,
amakebe,[GENERAL_NOUN] fat cheeks,,general,,
amakendu,[GENERAL_NOUN] waist,,general,,
amakerre,[GENERAL_NOUN] wild strawbberries,,general,,
amakooti,[GENERAL_NOUN] round shoulders,,general,,
amakune,[GENERAL_NOUN] hospitality,,health,,
amakuura,[GENERAL_NOUN] in footmall,,general,,
amakutu,[GENERAL_NOUN] short cut,,general,,
amakuuma,[GENERAL_NOUN] round shoulders,,general,,
amakuumuule,[GENERAL_NOUN] rudeness,,general,,
amalebe,[GENERAL_NOUN] water lilies,,general,,
amalere,[GENERAL_NOUN] fern,,general,,
amaryo,"[GENERAL_NOUN] cunning, craft",,general,,
amanambo,[GENERAL_NOUN] old mines,,general,,
amananu/amazima,[GENERAL_NOUN] truth,,general,,
amanduguya,[HEALTH_AND_MEDICINE_NOUN] mumps,,health,,
amankwaha,[GENERAL_NOUN] armpits,,general,,
amanyaali,[GENERAL_NOUN] semen,,general,,
obufuki,"[GENERAL_NOUN] damp, cold",,general,,
amanzamba,[GENERAL_NOUN] cartridge bolt,,general,,
amarali,"[GENERAL_NOUN] squint, cross-eyes",,general,,
kwangana,[GENERAL_NOUN] divorce,,general,,
kwangasana,[GENERAL_VERB] to shine,,general,,
kujingajinga,[GENERAL_NOUN] forge,,general,,
emyempanko,[GENERAL_NOUN] pride,,general,,
amarunga,[GENERAL_NOUN] scarlet seeds,,agriculture,,
amasamba,"[GENERAL_NOUN] estates, plantations",,agriculture,,
amasanga,"[GENERAL_NOUN] ivory, tusks",,general,,
amasasaazi,[GENERAL_NOUN] sparks,,general,,
amasasi,[GENERAL_NOUN] bullets,,general,,
amasirimuko,"[GENERAL_NOUN] descent, slope,south",,general,,
amasu,"[GENERAL_NOUN] loneliness, solitude",,general,,
amasumi,[GENERAL_NOUN] fresh milk,,general,,
amasurubbu,[GENERAL_NOUN] whiskers,,general,,
amaswale,[GENERAL_NOUN] raffia,,general,,
amata,[GENERAL_NOUN] milk,,general,,
amatandiiko,"[GENERAL_NOUN] harness, saddle",,general,,
amatanga/ebiraka,[GENERAL_NOUN] patches,,general,,
amatangatangano,"[GENERAL_NOUN] cross-roads, junction",,general,,
amatembero,[GENERAL_NOUN] ladders,,general,,
amatu,[GENERAL_NOUN] ears,,general,,
amazaarwa,[GENERAL_NOUN] birthday,,general,,
amazi,"[GENERAL_NOUN] dung, feaces,stool",,general,,
amaziga,[GENERAL_NOUN] tears,,general,,
amazima,[GENERAL_NOUN] truth,,general,,
amoogi,[GENERAL_NOUN] sharpness,,general,,
amooya,[GENERAL_NOUN] feathers/hair,,general,,
ange,[GENERAL_NOUN] mine,,general,,
ekigarukyamu,[GENERAL_NOUN] answer,,general,,
kyawe,[GENERAL_NOUN] yours,,general,,
abanyabuzale,[GENERAL_NOUN] relatives,,general,,
abazini,"[GENERAL_NOUN] chorus, choir",,general,,
baamya,[GENERAL_NOUN] okra,,general,,
bachwezi,"[MILITARY_NOUN] demi-god, soldier",,general,,
bagaya,[GENERAL_NOUN] they despise,,general,,
bahima,[GENERAL_NOUN] pastoralists,,general,,
bahuma,[COMMON_ANIMALS_NOUN] pastroral cow-men,,general,,
bakisaagya,[GENERAL_NOUN] beyond expectation,,general,,
Baraza,[GENERAL_NOUN] Monday,,general,,
bambataza,[GENERAL_VERB] to squash,,general,,
kuhikiriza,[GENERAL_VERB] to fulfill,,general,,
banganira,[GENERAL_VERB] to belp,,general,,
bara,"[GENERAL_VERB] to count,calculate",,general,,
Barozi,[GOVERNANCE_AND_ADMINISTRATION_NOUN] a governor,,general,,
batiza,[GENERAL_VERB] to baptize,,general,,
baza,[GENERAL_VERB] to talk,,general,,
baziira,[GENERAL_VERB] to sew,,general,,
ebaasa,[GENERAL_NOUN] envelope,,general,,
bbamu,[GENERAL_NOUN] intensive with,,general,,
bbani/oruhu,[COMMON_ANIMALS_NOUN] buffalo hide,,general,,
bbanka,[GENERAL_NOUN] bank,,general,,
bbaraza,[GENERAL_NOUN] council,,general,,
bbaruka,[GENERAL_VERB] to burst,,general,,
bbasitooro,"[GENERAL_NOUN] pistol, revolver",,general,,
bbeeseni/bafu,[GENERAL_NOUN] basin,,general,,
bbinika,[GENERAL_NOUN] kettle,,general,,
bbomba,[GENERAL_NOUN] bicycle pump,,general,,
empanga,[GENERAL_NOUN] dig deep,,general,,
bbuukura,[GENERAL_NOUN] roar,,general,,
bbwarruza,"[GENERAL_NOUN] crunch, snap",,general,,
beene,[GENERAL_NOUN] relative,,general,,
bibugo,[GENERAL_NOUN] grave clothes,,general,,
bicoboyo,[GENERAL_NOUN] young beans,,agriculture,,
bicucuke,[GENERAL_NOUN] dust. Rubbish,,general,,
bicwe,[GENERAL_NOUN] broth,,general,,
bicwereriirwe,[GENERAL_NOUN] invited thing,,general,,
bifunjo,[GENERAL_NOUN] papyrus,,general,,
bigene,[GENERAL_NOUN] entertaining conversation,,general,,
bigenge,[HEALTH_AND_MEDICINE_NOUN] leprosy,,health,,
bigesero,"[GENERAL_NOUN] stubble, straw",,general,,
bigondonka,"[GENERAL_NOUN] happenings, occurrences",,general,,
bigono,[GENERAL_NOUN] snoring,,general,,
bigoye,[GENERAL_NOUN] recover,,general,,
biguuna,[GENERAL_NOUN] ring conn,,general,,
bihana,[GENERAL_NOUN] dyspepsia pains,,general,,
bibaniirro,"[GENERAL_NOUN] warning, caution",,general,,
bihunda,"[GENERAL_NOUN] rubbish, refuse",,general,,
bihwa,[GENERAL_NOUN] whispered words,,general,,
bire,"[GENERAL_NOUN] bad, ugly",,general,,
bijwajwa,"[GENERAL_NOUN] saliva, dribble",,general,,
bikaiga,[GENERAL_NOUN] young beans,,agriculture,,
bikambi,"[GENERAL_NOUN] dregs,refuse, rubbish",,general,,
bikangaarra,[BIOLOGY_NOUN] skeleton,,general,,
bikanka,[GENERAL_NOUN] make threats,,general,,
bikeerranwa,[GENERAL_NOUN] waning moon,,general,,
bikoorro,[GENERAL_NOUN] sputum,,general,,
Bikwebe,[GENERAL_NOUN] a response,,general,,
bikya,[GENERAL_NOUN] neck,,general,,
bimwemwe,[GENERAL_NOUN] smile,,general,,
bintu,"[GENERAL_NOUN] things,wealth",,general,,
binyansi,[GENERAL_NOUN] weeds; worms,,general,,
binyoobwa,[GENERAL_NOUN] ground outs,,general,,
binzaah,[GENERAL_NOUN] curry powder,,general,,
biraapara,[GENERAL_NOUN] hurriedly,,general,,
biri,"[GENERAL_NOUN] root, two",,general,,
biriibwa,"[GENERAL_NOUN] eatables, food",,general,,
birika,[GENERAL_NOUN] snow,,general,,
biro,[GENERAL_NOUN] days; periods,,general,,
birungo,"[GENERAL_NOUN] seasoning,spices",,general,,
birusu,[GENERAL_NOUN] saliva,,general,,
bisa,[HEALTH_AND_MEDICINE_NOUN] labour pains,,health,,
mabingo,[GENERAL_NOUN] young reed,,general,,
bisaka,[GENERAL_NOUN] herbal medicine,,health,,
biseereere,[GENERAL_NOUN] beans,,agriculture,,
bisonde,"[HEALTH_AND_MEDICINE_NOUN] syphilis, yaws",,health,,
bisuba,"[GENERAL_NOUN] lies, deceit",,general,,
bisiyaga,[GENERAL_NOUN] sodomy,,general,,
bitanaki,[GENERAL_NOUN] vomit,,general,,
bitanta,[GENERAL_NOUN] labia,,general,,
bitaarra,[GENERAL_NOUN] whiskers,,general,,
bitege,[GENERAL_NOUN] bandy legs,,general,,
bitontoorro,[GENERAL_NOUN] birds' dropping,,general,,
biyogoma,[GENERAL_NOUN] flop down,,general,,
boboorra,[GENERAL_NOUN] unfasten,,general,,
bohorrooka,[GENERAL_VERB] to unfasten,,general,,
bonabona,[GENERAL_NOUN] suffer,,general,,
boroogo,"[GENERAL_NOUN] wailing,lamentation",,general,,
boyesa,"[GENERAL_NOUN] scent, perfume",,general,,
bubaagi,[GENERAL_NOUN] flaying,,general,,
bubaizi,"[GENERAL_NOUN] carpentry, joinery",,general,,
bubaliirizi,[ECONOMICS_AND_COMMERCE_NOUN] economy.stinginess,,general,,
bubambaazi,[GENERAL_NOUN] mad behavior,,general,,
bubi,"[GENERAL_NOUN] evil, harm;excrement",,general,,
bubitihi,"[GENERAL_NOUN] lying, deceitfulness",,general,,
bubuura,[GENERAL_NOUN] loneliness solitude,,general,,
buceke,"[GENERAL_NOUN] weakness,feebleness",,general,,
bucwangya,"[GENERAL_NOUN] deceit,fraud",,general,,
budaida,[GENERAL_NOUN] ceaselessly,,general,,
budomadoma,[GENERAL_VERB] to folly,,general,,
budoolidooli,"[GENERAL_NOUN] little, tinny",,general,,
buduupe,"[GENERAL_NOUN] cunning,craftiness",,general,,
buduuzi,"[GENERAL_NOUN] scorn, derision",,general,,
bufaakatr,[GENERAL_NOUN] widowhood,,general,,
bufu,"[GENERAL_NOUN] greediness,selfishness",,general,,
bufuoda,"[GENERAL_NOUN] narrowness,compression",,general,,
bufuodaano,"[GENERAL_NOUN] suffocation, stifling,asphyx",,general,,
bufuuhi,[GENERAL_NOUN] jealousy,,general,,
bugaajuki,[GENERAL_NOUN] redness,,general,,
bugabe,"[GENERAL_NOUN] freedom,right",,legal,,
bugabi,"[GENERAL_NOUN] generosity,booty",,general,,
bugana,[GENERAL_NOUN] at liberty,,general,,
buganiza,[GENERAL_VERB] to clasp,,general,,
buga.njaine,"[GENERAL_NOUN] friendship, affection",,general,,
buganjani,[GENERAL_NOUN] forch,,general,,
buganyizi,"[GENERAL_NOUN] pity, mercy",,general,,
buganzi,"[GENERAL_NOUN] affection,favoritism",,general,,
bugeoyi,[GENERAL_NOUN] feast,,general,,
bugizi,"[GENERAL_NOUN] ability, power",,general,,
bugobya,"[GENERAL_NOUN] deceit, fraud,hypocrisy",,general,,
bugoigo,"[GENERAL_NOUN] sisal, hemp",,general,,
bugole,[GENERAL_NOUN] wedding,,general,,
bugumba,"[GENERAL_NOUN] barrenness, sterility",,general,,
bugumizo,[GENERAL_NOUN] forge,,general,,
buguniiriza,[GENERAL_NOUN] stubbornness,,general,,
bugunule,[GENERAL_NOUN] insolence,,general,,
bugurusi,[GENERAL_NOUN] old age,,general,,
buguta,[GENERAL_VERB] to rustle,,general,,
buguuda,"[GENERAL_NOUN] wealth, riches",,general,,
buguzi,[GENERAL_NOUN] merchandise,,general,,
bugwagwa,[GENERAL_NOUN] foolishness,,general,,
bugweterano,"[GENERAL_NOUN] inheritance, succession",,general,,
